Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
"Partial Area Compulsory modules, 3rd year of studies Chemistry 120",,,Faculty of Science,,,3rd year of studies: Specialized study Chemistry 120
"Partial Area Core elective modules practical courses, 3rd year of studies Chemistry 120",,,Faculty of Science,,,3rd year of studies: Specialized study Chemistry 120
"Partial Area Core elective modules lectures, 3rd year of studies Chemistry 120",,,Faculty of Science,,,3rd year of studies: Specialized study Chemistry 120
Area 2nd year of studies: Geography 150,,,Faculty of Science,,,Geography
Area 3rd year of studies: Geography 150,,,Faculty of Science,,,Geography
"Partial Area Compulsory modules, 2nd year of studies Geography 150",,,Faculty of Science,,,2nd year of studies: Geography 150
"Partial Area Core elective modules, 2nd year of studies Geography 150",,,Faculty of Science,,,2nd year of studies: Geography 150
"Partial Area Compulsory modules, 3rd year of studies Geography 150",,,Faculty of Science,,,3rd year of studies: Geography 150
"Partial Area Core elective modules, 2nd year of studies Geography 120",,,Faculty of Science,,,3rd year of studies: Geography 150
Area 3rd year of studies: Physics 150,,,Faculty of Science,,,Physics
"Partial Area Compulsory modules, 3rd year of studies Physics 150",,,Faculty of Science,,,3rd year of studies: Physics 150
"Partial Area Core elective modules, 3rd year of studies Physics 150",,,Faculty of Science,,,3rd year of studies: Physics 150
Major 120 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger Jung,Bachelor of Science Faculty of Science (2021)
"Partial Area Compulsory modules, 2nd year of studies Geography 120",,,Faculty of Science,,,2nd year of studies: Geography 120
"Partial Area Compulsory modules, 3rd year of studies Geography 120",,,Faculty of Science,,,3rd year of studies: Geography 120
Area 2nd year of studies: Geography 120,,,Faculty of Science,,,Geography
Area 3rd year of studies: Geography 120,,,Faculty of Science,,,Geography
Major 120 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Science Faculty of Science (2021)
Major 120 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science Faculty of Science (2021)
Area 2nd year of studies: Physics,,,Faculty of Science,,,Physics
Area 3rd year of studies: Physics 120,,,Faculty of Science,,,Physics
"Partial Area Compulsory modules, Physics 120",,,Faculty of Science,,,3rd year of studies: Physics 120
"Partial Area Core elective modules, Physics 120",,,Faculty of Science,,,3rd year of studies: Physics 120
Minor 60 Biochemistry,"German, English",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Bachelor of Science Faculty of Science (2021)
Minor 60 Biology,"German, English",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Science Faculty of Science (2021)
Minor 60 Biomedicine,"German, English",,Faculty of Science,Lubor Borsig,Sabine Jacob Sempach,Bachelor of Science Faculty of Science (2021)
Minor 60 Chemistry,"German, English",,Faculty of Science,Eva Freisinger Sigel,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Minor 60 Earth System Science,"German, English",,Faculty of Science,Norman Backhaus,Philippe Meuret,Bachelor of Science Faculty of Science (2021)
Minor 60 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger Jung,Bachelor of Science Faculty of Science (2021)
Minor 60 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Science Faculty of Science (2021)
Minor 60 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science Faculty of Science (2021)
Minor 60 Environmental Studies,"German, English",,Faculty of Science,Hanna Kokko,Claudia Hegglin Braun,Bachelor of Science Faculty of Science (2021)
Minor 60 Astrophysics,"German, English",,Faculty of Science,Ravit Helled,,Bachelor of Science Faculty of Science (2021)
Minor 60 Applied Probability and Statistics,"German, English",,Faculty of Science,Reinhard Furrer,,Bachelor of Science Faculty of Science (2021)
"Partial Area Compulsory modules, Biomedicine 60 for students with a major study program in Physics",,,Faculty of Science,,,Biomedicine
"Partial Area Compulsory modules, Biomedicine 60",,,Faculty of Science,,,Biomedicine;Biomedicine
Area Chemistry 60,,,Faculty of Science,,,Chemistry
Area Chemistry 60 for students with a major study program in Biology,,,Faculty of Science,,,Chemistry
"Partial Area Compulsory modules, Chemistry 60",,,Faculty of Science,,,Chemistry 60;Chemistry
"Partial Area Core elective modules practical courses, Chemistry 60",,,Faculty of Science,,,Chemistry 60;Chemistry
"Partial Area Core elective modules lectures, Chemistry 60",,,Faculty of Science,,,Chemistry 60;Chemistry
"Partial Area Compulsory modules, Chemistry 60 for students with a major in Biology",,,Faculty of Science,,,Chemistry 60 for students with a major study program in Biology
"Partial Area Core elective modules, Chemistry 60 for students with a major in Biology",,,Faculty of Science,,,Chemistry 60 for students with a major study program in Biology
Minor 60 Computational Science,"German, English",,Faculty of Science,Joachim Gerhard Stadel,,Bachelor of Science Faculty of Science (2021)
"Partial Area Compulsory modules, Earth System Science 60",,,Faculty of Science,,,Earth System Science
"Partial Area Core elective modules, Earth System Science  60",,,Faculty of Science,,,Earth System Science;Earth System Science
"Partial Area Elective modules, Earth System Science 60",,,Faculty of Science,,,Earth System Science;Earth System Science
"Partial Area Compulsory modules, Geography 60",,,Faculty of Science,,,Geography
"Partial Area Core elective modules, Geography 60",,,Faculty of Science,,,Geography;Geography
"Partial Area Elective modules, Geography 60",,,Faculty of Science,,,Geography;Geography
Area Mathematics 60 for students with a major in Physics,,,Faculty of Science,,,Mathematics
Area Mathematics 60 for students not with a major in Physics,,,Faculty of Science,,,Mathematics
"Partial Area Compulsory modules, Mathematics 60 for students with a major in Physics",,,Faculty of Science,,,Mathematics 60 for students with a major in Physics
"Partial Area Core elective modules, Mathematics 60 for students with a major in Physics",,,Faculty of Science,,,Mathematics 60 for students with a major in Physics
"Partial Area Compulsory modules, Mathematics 60 for students not with a major in Physics",,,Faculty of Science,,,Mathematics 60 for students not with a major in Physics;Mathematics
"Partial Area Core elective modules, Mathematics 60 for students not with a major in Physics",,,Faculty of Science,,,Mathematics 60 for students not with a major in Physics;Mathematics
Area Physics 60,,,Faculty of Science,,,Physics;Physics
"Partial Area Compulsory modules, Physics 60",,,Faculty of Science,,,Physics 60
"Partial Area Core elective modules, Physics 60",,,Faculty of Science,,,Physics 60
"Partial Area Compulsory modules, Environmental Studies 60",,,Faculty of Science,,,Environmental Studies;Environmental Studies
"Partial Area Core elective modules, Environmental Studies 60",,,Faculty of Science,,,Environmental Studies;Environmental Studies
"Partial Area Elective modules, Environmental Studies 60",,,Faculty of Science,,,Environmental Studies;Environmental Studies
"Partial Area Core elective modules, Computational Science, Informatics",,,Faculty of Science,,,Computational Science;Computational Science;Computational Science;Computational Science;Computational Science
"Partial Area Elective modules, Computational Science",,,Faculty of Science,,,Computational Science;Computational Science;Computational Science;Computational Science;Computational Science
"Partial Area Compulsory modules, Astrophysics 60",,,Faculty of Science,,,Astrophysics
"Partial Area Core elective modules, Astrophysics 60",,,Faculty of Science,,,Astrophysics
"Partial Area Elective modules, Astrophysics 60",,,Faculty of Science,,,Astrophysics
"Partial Area Compulsory modules, Applied Probability and Statistics 60",,,Faculty of Science,,,Applied Probability and Statistics;Applied Probability and Statistics
"Partial Area Core elective modules, Applied Probability and Statistics 60",,,Faculty of Science,,,Applied Probability and Statistics;Applied Probability and Statistics
"Partial Area Elective modules, Applied Probability and Statistics 60",,,Faculty of Science,,,Applied Probability and Statistics;Applied Probability and Statistics
Minor 30 Biochemistry,"German, English",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Bachelor of Science Faculty of Science (2021)
Minor 30 Biology,"German, English",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Science Faculty of Science (2021)
Minor 30 Biomedicine,"German, English",,Faculty of Science,Lubor Borsig,Sabine Jacob Sempach,Bachelor of Science Faculty of Science (2021)
Minor 30 Bioinformatics,English,,Faculty of Science,Andreas Wagner,,Bachelor of Science Faculty of Science (2021)
Minor 30 Chemistry,"German, English",,Faculty of Science,Eva Freisinger Sigel,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Minor 30 Earth System Science,"German, English",,Faculty of Science,Norman Backhaus,Philippe Meuret,Bachelor of Science Faculty of Science (2021)
Minor 30 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger Jung,Bachelor of Science Faculty of Science (2021)
Minor 30 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Science Faculty of Science (2021)
"Partial Area Compulsory modules, Mathematics 30 for students not with a major in Physics",,,Faculty of Science,,,Mathematics;Mathematics;Mathematics
Minor 30 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science Faculty of Science (2021)
Minor 30 Environmental Studies,"German, English",,Faculty of Science,Hanna Kokko,Claudia Hegglin Braun,Bachelor of Science Faculty of Science (2021)
"Partial Area Compulsory modules, Environmental Studies 30",,,Faculty of Science,,,Environmental Studies;Environmental Studies;Environmental Studies
"Partial Area Core elective modules, Environmental Studies 30",,,Faculty of Science,,,Environmental Studies;Environmental Studies;Environmental Studies
Minor 30 Applied Probability and Statistics,"German, English",,Faculty of Science,Reinhard Furrer,,Bachelor of Science Faculty of Science (2021)
Minor 30 Astrophysics,"German, English",,Faculty of Science,Ravit Helled,,Bachelor of Science Faculty of Science (2021)
"Partial Area Compolsury modules, Astrophysics 30",,,Faculty of Science,,,Astrophysics
"Partial Area Core elective modules, Astrophysics 30",,,Faculty of Science,,,Astrophysics
"Partial Area Elective modules, Astrophysics 30",,,Faculty of Science,,,Astrophysics
Minor 30 Neuroinformatics,"German, English",,Faculty of Science,Richard Hahnloser,Daniel Ch. Kiper,Bachelor of Science Faculty of Science (2021)
Minor 30 Astronomy and Astrobiology,"German, English",,Faculty of Science,Benjamin Moore,,Bachelor of Science Faculty of Science (2021)
Minor 30 Crystallography,"German, English",,Faculty of Science,Bernhard Spingler,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Minor 60 Biochemistry,"German, English",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 60 Biology,"German, English",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 60 Biomedicine,"German, English",,Faculty of Science,Lubor Borsig,Sabine Jacob Sempach,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 60 Chemistry,"German, English",,Faculty of Science,Eva Freisinger Sigel,Sabine Stockhause,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 60 Earth System Science,"German, English",,Faculty of Science,Norman Backhaus,Philippe Meuret,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
"Partial Area Compulsory modules, Earth System Science 60",,,Faculty of Science,,,Earth System Science
Minor 60 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger Jung,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
"Partial Area Compulsory modules, Geography 60",,,Faculty of Science,,,Geography
Minor 60 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 60 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 60 Environmental Studies,"German, English",,Faculty of Science,Hanna Kokko,Claudia Hegglin Braun,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 60 Computational Science,"German, English",,Faculty of Science,Joachim Gerhard Stadel,,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 60 Applied Probability and Statistics,"German, English",,Faculty of Science,,Reinhard Furrer,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 30 Biochemistry,"German, English",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 30 Biology,"German, English",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 30 Chemistry,"German, English",,Faculty of Science,Eva Freisinger Sigel,Sabine Stockhause,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 30 Earth System Science,"German, English",,Faculty of Science,Norman Backhaus,,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
"Partial Area Compulsory modules, Earth System Science 30",,,Faculty of Science,,,Earth System Science
Minor 30 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger Jung,BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 30 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 30 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 30 Neuroinformatics,"German, English",,Faculty of Science,Richard Hahnloser,Daniel Ch. Kiper,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 30 Bioinformatics,English,,Faculty of Science,Andreas Wagner,,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 30 Applied Probability and Statistics,"German, English",,Faculty of Science,Reinhard Furrer,,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 30 Astronomy and Astrobiology,"German, English",,Faculty of Science,Benjamin Moore,,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Minor 30 Crystallography,"German, English",,Faculty of Science,Bernhard Spingler,Sabine Stockhause,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Area Subject-specific matters,,,Faculty of Science,,,Core elective modules doctoral programm Ecology
Area Methods,,,Faculty of Science,,,Core elective modules doctoral programm Ecology
Area Transferable skills,,,Faculty of Science,,,Core elective modules doctoral programm Ecology
Area Research seminars,,,Faculty of Science,,,Core elective modules doctoral programm Ecology
Doctoral Program Public Understanding of Science,English,,Faculty of Science,Kai Niebert,,Doctorate Faculty of Science
Major 90 Biochemistry,English,,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Master of Science Faculty of Science (120) (2021)
Major 90 Biology,English,,Faculty of Science,Konrad Basler,Karin Isler,Master of Science Faculty of Science (120) (2021)
Major 90 Biomedicine,English,,Faculty of Science,Thierry Hennet,Sabine Jacob Sempach,Master of Science Faculty of Science (120) (2021)
Major 90 Chemistry,"English, German",,Faculty of Science,Eva Freisinger Sigel,Sabine Stockhause,Master of Science Faculty of Science (120) (2021)
Major 90 Chemistry and Business Studies,"German, English",,Faculty of Science,Stefan Seeger,Sabine Stockhause,Master of Science Faculty of Science (120) (2021)
Major 90 Geography,English,,Faculty of Science,Norman Backhaus,Yvonne Scheidegger Jung,Master of Science Faculty of Science (120) (2021)
Major 90 Mathematics,English,,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Master of Science Faculty of Science (120) (2021)
Major 90 Physics,English,,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Master of Science Faculty of Science (120) (2021)
Major 90 Biostatistics (specialized Master),English,,Faculty of Science,Reinhard Furrer,Eva Maria Furrer,Master of Science Faculty of Science (120) (2021)
Major 90 Chemical and Molecular Sciences (specialized Master),English,,Faculty of Science,Bernhard Spingler,Sabine Stockhause,Master of Science Faculty of Science (120) (2021)
Major 90 Physics (Fast Track),English,,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Master of Science Faculty of Science (120) (2021)
Minor 30 Environmental Studies,"German, English",,Faculty of Science,Hanna Kokko,Claudia Hegglin Braun,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16)
Area Elective modules doctoral programm Ecology,,,Faculty of Science,,,Ecology
Area Core elective modules doctoral programm Ecology,,,Faculty of Science,,,Ecology
Area B: Core elective area: People-Oriented Computing (INF3),,,"Faculty of Business, Economics and Informatics",,,Advanced level: Bachelor People-Oriented Computing
Area M: INF elective area,,,"Faculty of Business, Economics and Informatics",,,Informatics for OEC;Computing and Economics
Major 150 People-Oriented Computing,"German, English",,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO16)
Major 150 Computing and Economics,"German, English",,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO16)
Partial Subject Assessment level: Bachelor INF,,,"Faculty of Business, Economics and Informatics",,,People-Oriented Computing;Computing and Economics
Area B: Common compulsory program at advanced level: Bachelor INF,,,"Faculty of Business, Economics and Informatics",,,Advanced level: Bachelor People-Oriented Computing;Advanced level: Bachelor Computing and Economics
Area B: OEC elective area,,,"Faculty of Business, Economics and Informatics",,,Advanced level: Bachelor Computing and Economics
Area M: OEC elective area,,,"Faculty of Business, Economics and Informatics",,,Computing and Economics
Partial Subject Advanced level: Bachelor People-Oriented Computing,,,"Faculty of Business, Economics and Informatics",,,People-Oriented Computing
Partial Subject Advanced level: Bachelor Computing and Economics,,,"Faculty of Business, Economics and Informatics",,,Computing and Economics
Area B: Compulsory area: People-Oriented Computing,,,"Faculty of Business, Economics and Informatics",,,Advanced level: Bachelor People-Oriented Computing
Area B: Compulsory area: Computing and Economics,,,"Faculty of Business, Economics and Informatics",,,Advanced level: Bachelor Computing and Economics;Computing and Economics
Area M: Core elective area: People-Oriented Computing (INF3),,,"Faculty of Business, Economics and Informatics",,,People-Oriented Computing
Area B: Core elective area: Computing and Economics (INF4),,,"Faculty of Business, Economics and Informatics",,,Advanced level: Bachelor Computing and Economics;Computing and Economics
Minor 30 Computing and Economics,"German, English",,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science UZH in Informatics (RVO22)
Minor 30 Informatics for OEC,English,,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 People-Oriented Computing,English,http://www.oec.uzh.ch/en/regulations,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Arts UZH in Business and Economics (RVO22);Master of Science Faculty of Science (120) (2021)
Major 90 Computing and Economics,English,,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Master of Science UZH in Informatics (RVO16)
"Partial Area Compulsory modules, 2nd year of studies Earth System Science",,,Faculty of Science,,,2nd year of studies: Earth System Science
"Partial Area Core elective modules, 2nd year of studies Earth System Science",,,Faculty of Science,,,2nd year of studies: Earth System Science
"Partial Area Compulsory modules, 3rd year of studies Earth System Sciences",,,Faculty of Science,,,3rd year of studies: Earth System Science
"Partial Area Core elective modules, 3rd year of studies Earth System Science",,,Faculty of Science,,,3rd year of studies: Earth System Science
"Partial Area Compulsory modules, 1st year of studies Geography",,,Faculty of Science,,,1st year of studies: Geography
"Partial Area Core elective modules, 1st year of studies Geography",,,Faculty of Science,,,1st year of studies: Geography
"Partial Area Compulsory modules, 2nd year of studies Geography",,,Faculty of Science,,,2nd year of studies: Geography
"Partial Area Core elective modules, 2nd year of studies Geography",,,Faculty of Science,,,2nd year of studies: Geography
"Partial Area Compulsory modules, 3rd year of studies Geography",,,Faculty of Science,,,3rd year of studies: Geography
"Partial Area Core elective modules, 3rd year of studies Geography",,,Faculty of Science,,,3rd year of studies: Geography
"Partial Area Core elective modules, 2nd year of studies Geography 120",,,Faculty of Science,,,2nd year of studies: Geography 120
"Partial Area Core elective modules, 3rd year of studies Geography 120",,,Faculty of Science,,,3rd year of studies: Geography 120
Concentration General Geography,English,,Faculty of Science,,,Geography
Concentration Geographic Information Science and Systems,English,,Faculty of Science,,,Geography
Concentration Remote Sensing,English,,Faculty of Science,,,Geography
Concentration Human Geography,English,,Faculty of Science,,,Geography
Concentration Physical Geography,English,,Faculty of Science,,,Geography
Concentration Anthropology,English,,Faculty of Science,,,Biology
Concentration Animal Behaviour,English,,Faculty of Science,,,Biology
Concentration Cancer Biology,English,,Faculty of Science,,,Biology
Concentration Ecology,English,,Faculty of Science,,,Biology
Concentration Genetics and Development,English,,Faculty of Science,,,Biology
Concentration Immunology,English,,Faculty of Science,,,Biology
Concentration Microbiology,English,,Faculty of Science,,,Biology
Concentration Molecular and Cellular Biology,English,,Faculty of Science,,,Biology
Concentration Neurosciences,English,,Faculty of Science,,,Biology
Concentration Paleontology,English,,Faculty of Science,,,Biology
Concentration Plant Sciences,English,,Faculty of Science,,,Biology
Concentration Quantitative Biology and Systems Biology,English,,Faculty of Science,,,Biology
Concentration Systematics and Evolution,English,,Faculty of Science,,,Biology
Concentration Virology,English,,Faculty of Science,,,Biology
"Partial Area Additional options, 2nd year of studies Chemistry 120",,,Faculty of Science,,,2nd year of studies: lower-level study Chemistry 150
"Partial Subject Additional options, 2nd year of studies Chemistry",,,"Faculty of Business, Economics and Informatics",,,2nd year of studies: lower-level study Chemistry 150;2nd year of studies: lower-level study Chemistry/Biochemistry
Area Mantelstudium Chiropraktik M Chiro Med 1. Studienjahr,,,Humanmedizin,,,M Chiro Med 1. SJ
Doctoral Program Theoretical Astrophysics and Cosmology,English,,Faculty of Science,Jaiyul Yoo,Elzbieta Joanna Rembelska,Doctorate Faculty of Science
Major 90 Theoretical Astrophysics and Cosmology (Fast-Track),English,,Faculty of Science,Ravit Helled,Suzanne Wilde-Duvernay,Master of Science Faculty of Science (120) (2021)
Area Compulsory modules Theoretical Astrophysics and Cosmology,,,Faculty of Science,,,Theoretical Astrophysics and Cosmology (Fast-Track);Theoretical Astrophysics and Cosmology (Fast-Track)
Area Core elective modules Theoretical Astrophysics and Cosmology,,,Faculty of Science,,,Theoretical Astrophysics and Cosmology (Fast-Track);Theoretical Astrophysics and Cosmology (Fast-Track)
Area Elective modules Theoretical Astrophysics and Cosmology,,,Faculty of Science,,,Theoretical Astrophysics and Cosmology (Fast-Track);Theoretical Astrophysics and Cosmology (Fast-Track)
Doctoral Program Asia and Europe,"German, English",http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,,,Doctorate Faculty of Law (PVO09)
Area Core elective modules General Geography,,,Faculty of Science,,,General Geography;General Geography
Area Core elective modules Geographic Information Science,,,Faculty of Science,,,Geographic Information Science and Systems;Geographic Information Science and Systems
Area Core elective modules Remote Sensing,,,Faculty of Science,,,Remote Sensing;Remote Sensing
Area Core elective modules Human Geography,,,Faculty of Science,,,Human Geography;Human Geography
Area Core elective modules Physical Geography,,,Faculty of Science,,,Physical Geography;Physical Geography
Area Elective modules General Geography,,,Faculty of Science,,,General Geography;General Geography
Area Elective modules Geographic Information Science,,,Faculty of Science,,,Geographic Information Science and Systems;Geographic Information Science and Systems
Area Elective modules Remote Sensing,,,Faculty of Science,,,Remote Sensing;Remote Sensing
Area Elective modules Human Geography,,,Faculty of Science,,,Human Geography;Human Geography
Area Elective modules Physical Geography,,,Faculty of Science,,,Physical Geography;Physical Geography
Minor 30 Ethics,German,,Faculty of Arts and Social Sciences,Katia Saporiti,Simon Berwert,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science Faculty of Science (2021)
Minor 30 Cultural Contexts,German,,Faculty of Arts and Social Sciences,Philipp Theisohn,Charlotte Schweri Litscher,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science Faculty of Science (2021)
"Minor 30 History, Society, Politics",German,,Faculty of Arts and Social Sciences,Marco Steenbergen,Petra Holtrup Mostert,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science Faculty of Science (2021)
